dataset,pair_id,representation,seed,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_rows,n_queries
db15k,db15k_mhyper_adamf,C3,2,63376,0.03662534961071253,0.031194249889990106,0.07882687424636867,0.3530358495329462,0.3973100186155557,0.044274169082609505,0.5753839536295864,0.2103162080282757,0.21935209666369065,0.009035888635414963,0.498447340661156,0.5468534262774581,0.04685342627745814,0.5183497183272044,0.5633520575612219,-0.04500233923401742,-0.004223507514584814,0.4075418112969391,0.18886083938150836,False,63376,15844
db15k,db15k_mhyper_adamf,C3,3,63376,0.033437822474936846,0.02818947395364068,0.07467540915052154,0.35249936884625094,0.39859186659562224,0.0460924977493713,0.5715579761919202,0.2046516031305226,0.21504763407004687,0.010396030939524264,0.5013176966027376,0.5473283312016091,0.047328331201609064,0.5222631295177516,0.5571509719767735,-0.03488784245902199,-0.00552833900294661,0.4083307036920164,0.1773430104133796,False,63376,15844
db15k,db15k_mhyper_adamf,C4,1,63376,0.03459978326505538,0.029495743382116663,0.06597654750885824,0.33500063115374906,0.3694963052838258,0.03449567413007676,0.5663098545750039,0.21825296642262054,0.22458614313159375,0.006333176708973209,0.48999722028228854,0.5349063456158902,0.03490634561589023,0.5063296481824661,0.5532535975763696,-0.04692394939390354,-0.006079012094052353,0.3619438308614705,0.18097191543073524,False,63376,15844
db15k,db15k_mhyper_adamf,C4,2,63376,0.03567318514039714,0.030464819749179233,0.08217244112254769,0.3530358495329462,0.3997444178243808,0.046708568291434605,0.5777445871244447,0.2103162080282757,0.2203758872508771,0.010059679222601398,0.4933183019530401,0.5429251852655277,0.04292518526552769,0.5199748030517276,0.5633520575612219,-0.043377254509494256,-0.004164027033449139,0.4075418112969391,0.21741874408330703,False,63376,15844
db15k,db15k_mhyper_adamf,C4,3,63376,0.03286186907740018,0.027855664114004974,0.08749188358288182,0.35249936884625094,0.4120637028398621,0.05956433399361116,0.5811082096354376,0.2046516031305226,0.2155801850862652,0.010928581955742589,0.5031967325853774,0.555581398157997,0.05558139815799701,0.5230901552648227,0.5571509719767735,-0.034060816711950825,-0.004384734774973079,0.43830861470495425,0.163142947301988,False,63376,15844
db15k,db15k_mhyper_native,C0,1,63376,0.020846911978227266,0.017890739549149246,0.06941497250561537,0.3203420853319869,0.38112313829521016,0.06078105296322328,0.5723596273692145,0.1976931330472103,0.19525052950547964,-0.0024426035417306757,0.48564136678155956,0.5381446617092361,0.03814466170923614,0.4982224163891698,0.5180352183791972,-0.019812801990027384,0.0016046485451722313,0.4275796781319028,0.20069422530766803,False,63376,15844
db15k,db15k_mhyper_native,C0,2,63376,0.017906143662694444,0.015085180480332102,0.054887269412083974,0.32748990154001517,0.37999614011377353,0.05250623857375836,0.5614729447055411,0.17937389548093916,0.17300010964721182,-0.00637378583372733,0.47872646852847084,0.5245648840202144,0.024564884020214395,0.48764008719011764,0.5068637970209543,-0.019223709830836655,0.0030444195281813407,0.41322183654149575,0.1844430419690754,False,63376,15844
db15k,db15k_mhyper_native,C0,3,63376,0.023377345345726795,0.02024699882042924,0.08777415037807232,0.3430320626104519,0.4187058482638015,0.07567378565334959,0.5901294876488157,0.19393776824034334,0.19175957748063838,-0.002178190759704962,0.48439677881836257,0.546951492618027,0.046951492618027,0.5118372195458489,0.5369698308507953,-0.025132611304946373,0.0026970632872040756,0.47775323445881984,0.19990533291259072,False,63376,15844
db15k,db15k_mhyper_native,C1,1,63376,0.021111578524848223,0.017964433101154944,0.05764463065988883,0.3203420853319869,0.3742805597667482,0.0539384744347613,0.5687325916205347,0.1976931330472103,0.19348980240030017,-0.004203330646910142,0.47356989141574424,0.5246072201842529,0.024607220184252876,0.5276628593811035,0.5180352183791972,0.009627641001906273,0.0006676754340388315,0.4080151467339855,0.2451877563900284,False,63376,15844
db15k,db15k_mhyper_native,C1,2,63376,0.018187444195891304,0.015157206978808992,0.05382085723213693,0.32748990154001517,0.38074010324707935,0.05325020170706418,0.5640194865502058,0.17937389548093916,0.16989587774004916,-0.009478017740889993,0.46987826133309646,0.5183630641218017,0.018363064121801664,0.520454496667538,0.5068637970209543,0.01359069964658366,0.0038080596337555883,0.42189965288734615,0.21410539602398232,False,63376,15844
