pair,variant,base_seed,selector_seed,fit_triples,available_directional_rows,loss_rows_per_epoch,epochs,optimization_rows,model_sha256
db15k_mhyper_native,R3_softplus_fixed,1,37,7922,15844,7922,1,7922,594ec0b8f0fad9eb58e9105045ae9a56ee065af2999d7d57c131da72461910e4
db15k_mhyper_native,R3_softplus,1,37,7922,15844,7922,3,23766,9115fcf6e2c22ed1932d81d83727d360e6cf352026953a48352dac880e5c8f21
db15k_mhyper_native,R4_swap,1,37,7922,15844,7922,3,23766,5baa1bd036b6fbd026bcb0e5314cba12bbd8632a9541d62f5015b78ab23cc088
db15k_mhyper_native,R1_source,2,11,7922,15844,7922,1,7922,94f7bb87bc1ef36cd5841a160858ee470a918c1ac00ea6df139eb9d7996a92ae
db15k_mhyper_native,R2_init,2,11,7922,15844,7922,1,7922,8eb8f0b5fd94a461fe1d79ffc37f6fb381827040326dc358da32abbd362c5e9a
db15k_mhyper_native,R3_softplus_fixed,2,11,7922,15844,7922,1,7922,9f49cb40fc6d6b4d7f45935f7efb466632c03b7ec0821277f532d92faa341acc
db15k_mhyper_native,R3_softplus,2,11,7922,15844,7922,3,23766,de29724511bb82025a90f496e5d076cb17eac9f86c373610cdc25f2fb81d864d
db15k_mhyper_native,R4_swap,2,11,7922,15844,7922,3,23766,dd2549461a443a30a641d4d164424500a71c50578242049a189239de65eb770f
db15k_mhyper_native,R1_source,2,23,7922,15844,7922,1,7922,5f1e6613e0143e79b128f6654504813c7e474f087ffbff80d5bafab7916815ae
db15k_mhyper_native,R2_init,2,23,7922,15844,7922,1,7922,274b7dda7c26abf85289d5e9cb9c511ee1547bb4d33d517d8daee7ce33df195c
db15k_mhyper_native,R3_softplus_fixed,2,23,7922,15844,7922,1,7922,cb43a45afe98ef36f8bb0e13a9133e631bd740ef2d6dfb6af3688ebfbcd07fe2
db15k_mhyper_native,R3_softplus,2,23,7922,15844,7922,3,23766,19bca41a7303c34afc19dbba449c0b91dfdd4da597aefab26d1c616d00533eac
db15k_mhyper_native,R4_swap,2,23,7922,15844,7922,3,23766,785c37c2887579a737339edf508c997b1d69a9805b4e71328653306dd9f6b04d
db15k_mhyper_native,R1_source,2,37,7922,15844,7922,1,7922,1d7e08ff2172aa77ffea3d1847a4c8fa2559da7481b7ea095c8cc74b028c9c27
db15k_mhyper_native,R2_init,2,37,7922,15844,7922,1,7922,3b66a59786a396c73b3c1275b905ee8aea6ca743039547059a5af1fdf99f6dc7
db15k_mhyper_native,R3_softplus_fixed,2,37,7922,15844,7922,1,7922,8448bf582838d9910a7602e69cb9da392b035647843600cc149cca8e4a71c409
db15k_mhyper_native,R3_softplus,2,37,7922,15844,7922,3,23766,d655b82e53aa7feacb257021f6b541fac36bf5dc22e7d3dea082e2fe2788d762
db15k_mhyper_native,R4_swap,2,37,7922,15844,7922,3,23766,ef5c0b97a9a33875cfbd1c022088e3458eeb50bb90cc888f135fb068c1abc0db
db15k_mhyper_native,R1_source,3,11,7922,15844,7922,1,7922,a0f0e6f9fa751820f63ccda2b25d9173ca66cc9822a1851a2424c5f05f7358ff
db15k_mhyper_native,R2_init,3,11,7922,15844,7922,1,7922,6b8d65f9a40faefcd70aac51a94cfaa281cb59f8dd4402e0e9225eff32a3d5ec
db15k_mhyper_native,R3_softplus_fixed,3,11,7922,15844,7922,1,7922,4c60bc407914abcd24f77c36cb821adfe193d9aa25441901808c8973f37c4ac2
db15k_mhyper_native,R3_softplus,3,11,7922,15844,7922,3,23766,9ac8e314fa473a78a8404fc85b505f8132fa33f1a93846704586749c78acad6d
db15k_mhyper_native,R4_swap,3,11,7922,15844,7922,3,23766,0cb3e393181e2868744915c5c2ce00da98c28894bcdba236fe4c24e8c44bdb25
db15k_mhyper_native,R1_source,3,23,7922,15844,7922,1,7922,34226d8a1c8e9c2eb84b5f216cf1e18e252a4c80b674d0516d2a5e646561ac3c
db15k_mhyper_native,R2_init,3,23,7922,15844,7922,1,7922,b97ecb2fb705ab6ca8231127de06a211eeab959454888dc32739bc76dd8bdfcb
db15k_mhyper_native,R3_softplus_fixed,3,23,7922,15844,7922,1,7922,7499eba8b548ffbee1854b4d2897511a91dcdc0b788a5a15a7fa1b5bb8af5503
db15k_mhyper_native,R3_softplus,3,23,7922,15844,7922,3,23766,ed4f291fb049255cf0eab5e2f8b7f365d1a3e140b465d1298a35d19c93fd7952
db15k_mhyper_native,R4_swap,3,23,7922,15844,7922,3,23766,95a31687bb9022b37cf8b318827ea25c1eee2e75d4463a73df4b73d813c70f5a
db15k_mhyper_native,R1_source,3,37,7922,15844,7922,1,7922,68ad9ea375ed5e4fc25f38ca3e0509cf9c66bb2243733124510b3c92b6c0198f
db15k_mhyper_native,R2_init,3,37,7922,15844,7922,1,7922,d94f01d3716e566c14efb0572303126926e4638180576690a428c732b55454b0
db15k_mhyper_native,R3_softplus_fixed,3,37,7922,15844,7922,1,7922,dd528f480c4f7e874f79e105f07f244275fb453183d60856e14944b0043abf76
db15k_mhyper_native,R3_softplus,3,37,7922,15844,7922,3,23766,1ff07d0c15b475572861c962b2cf997b37ead041bb6a5da043f4d77b239f46b5
db15k_mhyper_native,R4_swap,3,37,7922,15844,7922,3,23766,6767b16ebca6977d14cc5411b66c9f41c10820ecf6a82528204ca863a0359b3d
db15k_mhyper_adamf,R0,1,1,7922,15844,7922,1,7922,522533e2dbbf6a1551a526420e2e8ea0a7b472699c7c4cde9cf94e6819754a24
db15k_mhyper_adamf,R0,2,2,7922,15844,7922,1,7922,456659bc3007e0b91700c775398ac98f16c601f70901dd6efa4d2218f798aea4
db15k_mhyper_adamf,R0,3,3,7922,15844,7922,1,7922,481f42c8f79d3d9f116692f2b0964e7e625033a2f4b2b272d6d539e067d17f72
db15k_mhyper_adamf,R1_source,1,11,7922,15844,7922,1,7922,72209319cbc17dc961465f90faf9455b42e6dc287fe7e7e34703c1bba818e648
db15k_mhyper_adamf,R2_init,1,11,7922,15844,7922,1,7922,f12772640d0e6f961cbc4ed876d3ec27a099a29744f5f46f3b7f59ae52915268
db15k_mhyper_adamf,R3_softplus_fixed,1,11,7922,15844,7922,1,7922,980789ab42061f05020ab304b299b4bbc8fdac3cb41418c7faa64c68fae81a0b
db15k_mhyper_adamf,R3_softplus,1,11,7922,15844,7922,5,39610,da17db85fa176169d382cd7f5c47bce2bc610d22d1ef77c15c48c2c4f7934441
db15k_mhyper_adamf,R4_swap,1,11,7922,15844,7922,5,39610,a039a3beee409e7f8c9050c7c6603bf69bd8fa10b5f93ecd2aae59dbca4946d3
db15k_mhyper_adamf,R1_source,1,23,7922,15844,7922,1,7922,f18104532c14a25bb18314a057bd22e414832746507e431cbba7bce21d097f16
db15k_mhyper_adamf,R2_init,1,23,7922,15844,7922,1,7922,9749fd23b69e5c35380adaae649cd0ba1e4267ab0d3d49b879858edc934b14a6
db15k_mhyper_adamf,R3_softplus_fixed,1,23,7922,15844,7922,1,7922,18a73b69f22dec4bb283484d0501e4780efefe75d143ec5b9d59d36860350cd5
db15k_mhyper_adamf,R3_softplus,1,23,7922,15844,7922,5,39610,8bd05994c54ca952b9e312ee2c58fa33d3fde98bae840e93f0e3f825e8fc1b40
db15k_mhyper_adamf,R4_swap,1,23,7922,15844,7922,5,39610,4f40a92d0a4ed7e8c3cb15ce5a12a2606b83660759423c6644501ceeefaf97db
db15k_mhyper_adamf,R1_source,1,37,7922,15844,7922,1,7922,5871c4d31db307773f6041b06e04a9828095a341ba5d27cce4646f745f79774a
db15k_mhyper_adamf,R2_init,1,37,7922,15844,7922,1,7922,e6620ceb6d37b2320a385c76b8c29eb0c1a0c9a24bc34343d0f170ac3aa6acf0
db15k_mhyper_adamf,R3_softplus_fixed,1,37,7922,15844,7922,1,7922,d797d308eada22f99cea022992c0e3f51731d1f0c667b6a313a9125a1128aa73
db15k_mhyper_adamf,R3_softplus,1,37,7922,15844,7922,5,39610,85187ea00a50502e7951fed24750a60091dd4092ab9f99da686967c70a5c082f
db15k_mhyper_adamf,R4_swap,1,37,7922,15844,7922,5,39610,82f451a3381adb31d10d6ac5285eefb2bd200be594dc03e4dd72189cb08dfe14
db15k_mhyper_adamf,R1_source,2,11,7922,15844,7922,1,7922,ad92c88fc73f704e356dcde3e3d4eddab57b5ed4f18779ccc1f24a32b281bc9d
db15k_mhyper_adamf,R2_init,2,11,7922,15844,7922,1,7922,78f387fb51519a903eaa31727eeb6e7bc638888ce91d11f4d4ba75ac5569fec0
db15k_mhyper_adamf,R3_softplus_fixed,2,11,7922,15844,7922,1,7922,a3dfe7ca11c95eb1814f1618c5dedf9103a3dd2603415ab1763bcc5d0a6e3379
db15k_mhyper_adamf,R3_softplus,2,11,7922,15844,7922,5,39610,70d84b70d8fd25c9fa43e4cc62e058314a269e137134749415546b2939e971c5
db15k_mhyper_adamf,R4_swap,2,11,7922,15844,7922,5,39610,06b2cb164083d0a5f9edc564a433cc924f241a13d56b127f2cb807abf9de87c2
db15k_mhyper_adamf,R1_source,2,23,7922,15844,7922,1,7922,15cbe6b4c535beda8e0c499c9994717e547c486defd8c42fe2d0746a4f34a0df
db15k_mhyper_adamf,R2_init,2,23,7922,15844,7922,1,7922,1cb4c924ee2331e9415861a88f9f5c518341d02cbe92f4133e67d867290c3d3c
db15k_mhyper_adamf,R3_softplus_fixed,2,23,7922,15844,7922,1,7922,3259ae7e4300e2c909f5e947239a370dc891c531f177305fe08fc0e7cc2b8893
