pair,label,split,method,seed,direction,n,mrr,utility,harm_rate,mean_loss,action_rate,mean_movement,full_minus_method
mkgw_mhyper_adamf,W-A,dev_oof,Low-A-gap,1,head,4276,0.1877265620600604,-5.883452382409144e-05,0.05402245088868101,0.0012674785974703445,0.27899906454630496,0.049836295603367636,-0.0003897013833092209
mkgw_mhyper_adamf,W-A,dev_oof,Low-A-gap,1,tail,4276,0.5191344293082817,0.0014398671963065748,0.00912067352666043,0.0003249686239809972,0.08044901777362021,0.010161365762394762,0.00044445422674100715
mkgw_mhyper_adamf,W-A,dev_oof,Low-A-gap,2,head,4276,0.1888814224840716,0.0008105244720181167,0.06969130028063611,0.0009828062268013352,0.37277829747427504,0.06715388213283444,-0.000500112376914673
mkgw_mhyper_adamf,W-A,dev_oof,Low-A-gap,2,tail,4276,0.5199420418240934,0.0023521923750118843,0.00912067352666043,0.0005670478998407771,0.06969130028063611,0.008828344246959776,-6.145891751326799e-05
mkgw_mhyper_adamf,W-A,dev_oof,Low-A-gap,3,head,4276,0.19251897120392128,0.0009688308107277198,0.052853133769878394,0.0008967553686180202,0.2993451824134705,0.05349625818521984,-5.855430816911554e-05
mkgw_mhyper_adamf,W-A,dev_oof,Low-A-gap,3,tail,4276,0.5154039333120171,0.001162987661584954,0.010757717492984098,0.0003489571592719846,0.06758652946679139,0.009389616463985034,0.0011131861781612483
mkgw_mhyper_adamf,W-A,dev_oof,Gap-agree,1,head,4276,0.18721608953074959,-0.0005693070531348919,0.05636108512628625,0.0019034629011816613,0.26028999064546304,0.04976613657623948,0.00012077114600157976
mkgw_mhyper_adamf,W-A,dev_oof,Gap-agree,1,tail,4276,0.5191325212306048,0.001437959118629787,0.0156688493919551,0.0015340519731500521,0.09915809167446211,0.014183816651075773,0.0004463623044177949
mkgw_mhyper_adamf,W-A,dev_oof,Gap-agree,2,head,4276,0.187789295139047,-0.0002816028730065052,0.06548175865294668,0.0018403056705392014,0.34424695977549113,0.06652245088868101,0.0005920149681099487
mkgw_mhyper_adamf,W-A,dev_oof,Gap-agree,2,tail,4276,0.519678277373323,0.002088427924241342,0.011693171188026192,0.0016939379660263119,0.09822263797942002,0.013751169317118804,0.0002023055332572748
mkgw_mhyper_adamf,W-A,dev_oof,Gap-agree,3,head,4276,0.19228984312645794,0.000739702733264362,0.05215154349859682,0.0012521568038354745,0.2705799812909261,0.052572497661365764,0.00017057376929424228
mkgw_mhyper_adamf,W-A,dev_oof,Gap-agree,3,tail,4276,0.5166629042760813,0.0024219586256491554,0.0156688493919551,0.0016421889676047274,0.09635173058933583,0.015259588400374181,-0.00014578478590295297
mkgw_mhyper_adamf,W-A,dev_oof,Random-shape,1,head,4276,0.1873061319138008,-0.0004792646700836783,0.057791655828484514,0.001915442349847191,0.26730589335827876,0.05332086061739944,3.072876295036599e-05
mkgw_mhyper_adamf,W-A,dev_oof,Random-shape,1,tail,4276,0.5194605560590515,0.0017659939470763936,0.015416641347660076,0.0015117586863283477,0.0921421889616464,0.015528531337698782,0.0001183274759711881
mkgw_mhyper_adamf,W-A,dev_oof,Random-shape,2,head,4276,0.18817131674244694,0.00010041873039346206,0.07145087796739903,0.001683979011328327,0.3571094480823199,0.07257951356407857,0.00020999336470998146
mkgw_mhyper_adamf,W-A,dev_oof,Random-shape,2,tail,4276,0.5198170509286862,0.002227201479604593,0.012149606939709085,0.0014810176765821562,0.08536014967259119,0.014452759588400374,6.353197789402319e-05
