split,dataset,pair,beta,beta_role,is_dev_locked_beta,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,mean_harm,beneficial_query_rate,changed_alpha_rate,fallback_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged
test,MKG-W,M-Hyper + NativE,0.35,formal_dev_candidate,False,25644,0.3694938436431443,0.36430474088661813,0.005189102756526228,0.18437061300889096,0.029640850760821003,0.3182420839182655,0.9186164404929028,0.0,0.15629581968491654,0.35,0.0,4728,8161,12755
test,MKG-W,M-Hyper + NativE,0.4,formal_dev_candidate,False,25644,0.36980233761432885,0.36430474088661813,0.005497596727710699,0.19010294805802527,0.030468467286651327,0.3244423646856965,0.9289502417719544,0.0,0.17864802682888786,0.4,0.0,4875,8320,12449
test,MKG-W,M-Hyper + NativE,0.45,formal_dev_candidate,False,25644,0.36998031380882096,0.36430474088661813,0.005675572922202831,0.19482140071751677,0.031617984021486766,0.32814693495554514,0.9369443144595226,0.0,0.19432030884417406,0.4,0.16031040399313679,4996,8415,12233
test,MKG-W,M-Hyper + NativE,0.5,formal_dev_candidate,True,25644,0.3701763045939824,0.36430474088661813,0.005871563707364281,0.19989081266573078,0.03286054269543111,0.33204648260801745,0.9425596630790828,0.0,0.20778544688816097,0.4,0.19361254094525035,5126,8515,12003
test,MKG-W,M-Hyper + NativE,1.0,no_local_bound_diagnostic,False,25644,0.3715360350242305,0.36430474088661813,0.007231294137612421,0.23861332085478085,0.04277622173490062,0.3420683200748713,0.9703634378412104,0.0,0.3146759475900795,0.5499999999999999,0.3233114958664795,6119,8772,10753
test,MKG-W,M-Hyper + AdaMF-MAT,0.05,formal_dev_candidate,False,25644,0.3602176785538684,0.3597209394760817,0.0004967390777866613,0.014506317267197005,0.0054909111385573915,0.07717204804242708,0.10556075495242552,0.24220090469505537,0.005278037747621281,0.050000000000000044,0.5036265793167992,372,1979,23293
test,MKG-W,M-Hyper + AdaMF-MAT,0.1,formal_dev_candidate,False,25644,0.36043507745578146,0.3597209394760817,0.00071413797969971,0.04866635470285447,0.00999438509762685,0.20379036031820308,0.30911714241148025,0.24220090469505537,0.016274762127593212,0.050000000000000044,0.5036265793167992,1248,5226,19170
test,MKG-W,M-Hyper + AdaMF-MAT,0.15,formal_dev_candidate,False,25644,0.36058067076142913,0.3597209394760817,0.0008597312853473521,0.05712837310871939,0.011097344723572893,0.2328419903291218,0.3562626735298705,0.24220090469505537,0.023231555139603816,0.09999999999999998,0.5036265793167992,1465,5971,18208
test,MKG-W,M-Hyper + AdaMF-MAT,0.2,formal_dev_candidate,False,25644,0.36082193334875584,0.3597209394760817,0.0011009938726740862,0.059858056465450005,0.011894668309967433,0.2356886601154266,0.3562626735298705,0.24220090469505537,0.03012010606769615,0.09999999999999998,0.5036265793167992,1535,6044,18065
test,MKG-W,M-Hyper + AdaMF-MAT,0.25,formal_dev_candidate,False,25644,0.3610016361218561,0.3597209394760817,0.0012806966457743318,0.06250974886913119,0.014093272794428787,0.23849633442520668,0.3562626735298705,0.24220090469505537,0.03769692715644985,0.15000000000000002,0.5036265793167992,1603,6116,17925
test,MKG-W,M-Hyper + AdaMF-MAT,0.3,formal_dev_candidate,False,25644,0.3611944789208217,0.3597209394760817,0.0014735394447399012,0.064225549836219,0.016702935548467805,0.24266885041335204,0.3562626735298705,0.24220090469505537,0.04580408672593979,0.19999999999999996,0.5036265793167992,1647,6223,17774
test,MKG-W,M-Hyper + AdaMF-MAT,0.35,formal_dev_candidate,False,25644,0.36153963488984153,0.3597209394760817,0.0018186954137597601,0.06637030104507877,0.01735806165350958,0.24489159257526127,0.3562626735298705,0.24220090469505537,0.053570035875838404,0.19999999999999996,0.5036265793167992,1702,6280,17662
test,MKG-W,M-Hyper + AdaMF-MAT,0.4,formal_dev_candidate,False,25644,0.3615864392444347,0.3597209394760817,0.001865499768352952,0.06906098892528467,0.019605198028299627,0.24586647948837934,0.3562626735298705,0.24220090469505537,0.06150171580096708,0.25,0.5036265793167992,1771,6305,17568
test,MKG-W,M-Hyper + AdaMF-MAT,0.45,formal_dev_candidate,False,25644,0.361541662451522,0.3597209394760817,0.0018207229754402482,0.07108875370457027,0.022985234516655004,0.24598346591795353,0.3562626735298705,0.24220090469505537,0.0683668694431446,0.25,0.5036265793167992,1823,6308,17513
