pair,comparator,scope,seed,n,delta_adc_minus_comparator,direction
mkgw_mhyper_adamf,R0,seed_direction,1.0,4274,0.09277636991565047,tail
mkgw_mhyper_adamf,R0,seed_direction,2.0,4274,0.010331559076978525,head
mkgw_mhyper_adamf,R0,seed_direction,2.0,4274,0.021605459324783593,tail
mkgw_mhyper_adamf,R0,seed_direction,3.0,4274,0.04379382501253975,head
mkgw_mhyper_adamf,R0,seed_direction,3.0,4274,0.08009887123405268,tail
mkgw_mhyper_adamf,R3,seed,1.0,8548,0.0015452518759047635,
mkgw_mhyper_adamf,R3,seed,2.0,8548,0.0019346285642167077,
mkgw_mhyper_adamf,R3,seed,3.0,8548,0.001500751540986257,
mkgw_mhyper_adamf,R3,direction,,12822,0.0014284006195834334,head
mkgw_mhyper_adamf,R3,direction,,12822,0.001892020701155052,tail
mkgw_mhyper_adamf,R3,seed_direction,1.0,4274,0.0012066318773386604,head
mkgw_mhyper_adamf,R3,seed_direction,1.0,4274,0.0018838718744708667,tail
mkgw_mhyper_adamf,R3,seed_direction,2.0,4274,0.0024696818198372875,head
mkgw_mhyper_adamf,R3,seed_direction,2.0,4274,0.0013995753085961275,tail
mkgw_mhyper_adamf,R3,seed_direction,3.0,4274,0.000608888161574352,head
mkgw_mhyper_adamf,R3,seed_direction,3.0,4274,0.002392614920398162,tail
db15k_mhyper_native,Primary,seed,1.0,19804,-0.0001004060000577638,
db15k_mhyper_native,Primary,seed,2.0,19804,9.578477793473314e-06,
db15k_mhyper_native,Primary,seed,3.0,19804,-0.0001528422416283123,
db15k_mhyper_native,Primary,direction,,29706,-0.00018768466984243507,head
db15k_mhyper_native,Primary,direction,,29706,2.523816058069987e-05,tail
db15k_mhyper_native,Primary,seed_direction,1.0,9902,-0.00021661664903475242,head
db15k_mhyper_native,Primary,seed_direction,1.0,9902,1.5804648919224822e-05,tail
db15k_mhyper_native,Primary,seed_direction,2.0,9902,-5.8391917720076395e-05,head
