dataset,pair_id,representation,seed,count,mae,smooth_l1,spearman,positive_prevalence,positive_auprc,positive_auprc_lift,positive_auroc,harmful_prevalence,harmful_auprc,harmful_auprc_lift,harmful_auroc,positive_vs_harmful_auroc,positive_vs_harmful_auroc_lift,nonzero_activity_auprc,nonzero_activity_prevalence,nonzero_activity_auprc_lift,highest_10pct_actual_mean_advantage,highest_10pct_positive_rate,highest_10pct_harmful_rate,h1_style_pass,n_queries
mkg_w,mkgw_mhyper_native,R0,3,68416,0.022345536500342895,0.019781155234789714,0.21436991539730954,0.2775666510757718,0.365992917535141,0.08842626645936924,0.6149266145119537,0.302224625818522,0.3897898476036713,0.0875652217851493,0.6080464115169171,0.6561656197330678,0.15616561973306775,0.6045658676746359,0.5797912768942938,0.024774590780342165,0.004412061440794034,0.4140602163110202,0.1977491961414791,True,8552
mkg_w,mkgw_mhyper_native,R1,1,68416,0.021123611603774628,0.018664721077956574,0.2220153555358015,0.2746872076707203,0.37088539724784575,0.09619818957712545,0.6172372927653789,0.30234155753040226,0.40933462686535627,0.106993069334954,0.6136040767141222,0.6587699692389283,0.15876996923892828,0.6271551345057661,0.5770287652011226,0.05012636930464354,0.006507742723130127,0.435399006138556,0.20739549839228297,True,8552
mkg_w,mkgw_mhyper_native,R1,2,68416,0.021645317142701376,0.019139865650114413,0.2291151004383332,0.2765727315247895,0.38431828435043675,0.10774555282564724,0.6280971389450778,0.3059810570626754,0.417183427040934,0.11120236997825855,0.6140173740173258,0.6640462058078416,0.16404620580784157,0.6474273639572091,0.5825537885874649,0.06487357536974425,0.004602026540479438,0.4630225080385852,0.2282958199356913,True,8552
mkg_w,mkgw_mhyper_native,R1,3,68416,0.0222800978985815,0.019779080570454678,0.22292701415617971,0.2775666510757718,0.3763810139728202,0.09881436289704842,0.6162252490076334,0.302224625818522,0.40971770672079083,0.10749308090226883,0.6166935936940885,0.6591669741239048,0.1591669741239048,0.6348858152330166,0.5797912768942938,0.0550945383387228,0.0014619325944104553,0.43832212803273896,0.21967261034785152,True,8552
mkg_w,mkgw_mhyper_native,R2,1,68416,0.021092146096450125,0.018659207568340143,0.22291624938817423,0.2746872076707203,0.4032195007447888,0.1285322930740685,0.6346559722361628,0.30234155753040226,0.39734901341800766,0.0950074558876054,0.5986641005979714,0.6585156521424508,0.15851565214245078,0.651914685059564,0.5770287652011226,0.0748859198584414,0.00904535782288629,0.49313066354866997,0.23808827828120432,True,8552
mkg_w,mkgw_mhyper_native,R2,2,68416,0.021589582597003176,0.01913010407086666,0.23986829655154632,0.2765727315247895,0.4161774483182158,0.1396047167934263,0.6455500044126936,0.3059810570626754,0.4087197391006899,0.1027386820380145,0.610428209132803,0.6721015645256996,0.17210156452569958,0.6619718572229215,0.5825537885874649,0.07941806863545664,0.0075762495930091905,0.5162233265127156,0.23779596609178602,True,8552
mkg_w,mkgw_mhyper_native,R2,3,68416,0.022190592863083915,0.019750476362516634,0.22571055172422536,0.2775666510757718,0.4055075817896723,0.1279409307139005,0.632455702043983,0.302224625818522,0.4023541237241023,0.10012949790558029,0.6062386643180518,0.6604056148555187,0.16040561485551874,0.6607853797176503,0.5797912768942938,0.0809941028233565,0.007000587431830756,0.5030692779888921,0.23750365390236772,True,8552
mkg_w,mkgw_mhyper_native,R3,1,68416,0.021106982303455434,0.018660144747608277,0.2207241359178515,0.2746872076707203,0.37982029611819584,0.10513308844747554,0.6155454665291179,0.30234155753040226,0.4079585639958348,0.10561700646543254,0.6139660637536583,0.656522670863684,0.156522670863684,0.6406505024993542,0.5770287652011226,0.06362173729823162,0.006664644859887175,0.4656533177433499,0.22844197603040048,True,8552
mkg_w,mkgw_mhyper_native,R3,2,68416,0.021604731408486167,0.019129155399165508,0.22683787353749177,0.2765727315247895,0.38889769537286384,0.11232496384807433,0.6256054715214643,0.3059810570626754,0.4229262301176291,0.11694517305495367,0.6162535147751675,0.6641927510570793,0.1641927510570793,0.6530590810350559,0.5825537885874649,0.07050529244759107,0.0061493316929137195,0.47047646886875183,0.23019584916691027,True,8552
mkg_w,mkgw_mhyper_native,R3,3,68416,0.022234896789684787,0.019767368261781233,0.21408086988948377,0.2775666510757718,0.38408616930901196,0.10651951823324018,0.6162216676088148,0.302224625818522,0.40529760413858296,0.10307297832006096,0.6094672883180022,0.6537979990792455,0.15379799907924552,0.6436054353827328,0.5797912768942938,0.06381415848843908,0.006505168500569674,0.4693072201110786,0.2266881028938907,True,8552
mkg_w,mkgw_native_adamf,R0,1,42760,0.03341095860060311,0.029829719666861598,0.0328432114789841,0.30011693171188025,0.31252362407059914,0.012406692358718885,0.5280784582779317,0.30778765201122543,0.30382847397987683,-0.003959178031348598,0.5014950772776448,0.5210149182942907,0.021014918294290696,0.574055802877913,0.6079045837231057,-0.033848780845192716,-0.0028548121992118445,0.3068288119738073,0.2775958840037418,False,8552
