relation_id,relation_name,n_queries,mean_rr_gate,mean_rr_residual,mean_delta_rr,mean_delta_rr_raw,mean_delta_rr_shrunk,fusion_win_rate,struct_win_rate,head_has_img_ratio,tail_no_img_ratio,is_visual_prior
80,rel_0080,408,0.1145173655210039,0.2267161263427707,-0.10695582807308597,-0.11219876082176665,-0.10695582807308597,0.4803921568627451,0.48284313725490197,0.41911764705882354,0.5,0
81,rel_0081,36,0.3014242415139601,0.38928177693143406,-0.056479844196947585,-0.08785753541747401,-0.056479844196947585,0.5277777777777778,0.3888888888888889,0.16666666666666666,0.5,0
82,rel_0082,1056,0.08199183981059889,0.20705748945566146,-0.12274100931708759,-0.12506564964506273,-0.12274100931708759,0.5151515151515151,0.46875,0.35795454545454547,0.5,0
85,rel_0085,12,0.3729031385281385,0.0007157733320569083,0.13957026194853062,0.37218736519608164,0.13957026194853062,1.0,0.0,0.5,0.5,1
86,rel_0086,1536,0.0984495634106237,0.21723145389398027,-0.11725513096557577,-0.1187818904833567,-0.11725513096557577,0.5143229166666666,0.4654947916666667,0.361328125,0.5,0
87,rel_0087,12,0.015790998988327292,0.037272710032440065,-0.008055641641542287,-0.021481711044112766,-0.008055641641542287,0.6666666666666666,0.3333333333333333,0.5,0.5,0
88,rel_0088,1128,0.20325492078036453,0.3201120445812771,-0.11482128540716874,-0.11685712380091286,-0.11482128540716874,0.4946808510638298,0.40070921985815605,0.3882978723404255,0.5,0
89,rel_0089,66,0.21829972783064583,0.1944889147387542,0.018273414698428494,0.023810813091891675,0.018273414698428494,0.6363636363636364,0.3333333333333333,0.5,0.5,1
90,rel_0090,474,0.12460556068449147,0.25598829183342114,-0.12606359223601762,-0.13138273114892976,-0.12606359223601762,0.5485232067510548,0.39451476793248946,0.3291139240506329,0.5,0
91,rel_0091,120,0.09891440881654064,0.13423334707084494,-0.03027337564654657,-0.035318938254304336,-0.03027337564654657,0.475,0.5,0.275,0.5,0
92,rel_0092,1062,0.14807198020588275,0.41175816141752186,-0.2588121298029223,-0.2636861812116402,-0.2588121298029223,0.3455743879472693,0.608286252354049,0.3728813559322034,0.5,0
93,rel_0093,48,0.12935506102649189,0.08784886687901101,0.02929848998645712,0.04150619414748092,0.02929848998645712,0.7291666666666666,0.25,0.3125,0.5,1
94,rel_0094,396,0.14012414442213156,0.2627400773413012,-0.11672093614420964,-0.12261593291916974,-0.11672093614420964,0.4898989898989899,0.47474747474747475,0.2803030303030303,0.5,0
95,rel_0095,6,0.12308931702762403,0.0004332771176962167,0.028305239979214112,0.12265603990992781,0.028305239979214112,1.0,0.0,0.5,0.5,1
96,rel_0096,1602,0.3968306043722222,0.4362166850516186,-0.038900432335630994,-0.039386080679396675,-0.038900432335630994,0.32397003745318353,0.39263420724094883,0.3389513108614232,0.5,0
97,rel_0097,6,0.010233147103627585,0.500289162902447,-0.11308984979972755,-0.49005601579881936,-0.11308984979972755,0.16666666666666666,0.8333333333333334,0.5,0.5,0
98,rel_0098,204,0.33483111213832545,0.41981641727548086,-0.07739733146419522,-0.08498530513715553,-0.07739733146419522,0.4264705882352941,0.37254901960784315,0.4264705882352941,0.5,0
99,rel_0099,54,0.2185817621764395,0.32147640268723354,-0.07508527821057942,-0.10289464051079401,-0.07508527821057942,0.5740740740740741,0.35185185185185186,0.3888888888888889,0.5,0
100,rel_0100,54,0.10726157574822764,0.13988009093259549,-0.02380270026967385,-0.03261851518436787,-0.02380270026967385,0.7592592592592593,0.24074074074074073,0.3888888888888889,0.5,0
101,rel_0101,150,0.2702687032356828,0.37977485496885893,-0.09662307505868487,-0.10950615173317618,-0.09662307505868487,0.52,0.34,0.28,0.5,0
102,rel_0102,120,0.14385350541651787,0.39615119425022777,-0.21625516185746563,-0.2522976888337099,-0.21625516185746563,0.5083333333333333,0.45,0.325,0.5,0
103,rel_0103,234,0.30371551737824476,0.48691582787418763,-0.16877508919704975,-0.1832003104959429,-0.16877508919704975,0.2948717948717949,0.5341880341880342,0.3333333333333333,0.5,0
