split,dataset,pair,variant_id,variant,seed,n_observations,mrr,global_mrr,delta_mrr_vs_global,harmful_query_rate,beneficial_query_rate,mean_harm,fallback_rate,changed_from_anchor_rate,mean_abs_alpha_deviation,p95_abs_alpha_deviation,saturation_rate,n_harmful,n_beneficial,n_unchanged,n_original_triple_clusters
dev,MKG-W,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,1,8552,0.3572949388688416,0.3527399793479298,0.004554959520911862,0.07764265668849392,0.2333956969130028,0.03140902513479813,0.254911131898971,0.33056594948550044,0.13661131898971002,0.55,0.5266604303086997,664,1996,5892,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,2,8552,0.35624674394738187,0.3528303737305675,0.0034163702168143245,0.09413002806361086,0.26496725912067354,0.037042275371990466,0.2257951356407858,0.38528999064546304,0.1679665575304022,0.65,0.48947614593077643,805,2266,5481,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,C_no_bound,No Bound,3,8552,0.3585197341539866,0.3528955430218128,0.005624191132173772,0.09144059869036483,0.24123012160898036,0.03626367435257692,0.24462114125350795,0.35465388213283444,0.15624415341440598,0.65,0.49812909260991584,782,2063,5707,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,1,8552,0.35494525784547887,0.3527399793479298,0.0022052784975490716,0.08372310570626754,0.29314780168381666,0.0237960914611798,0.0,0.441534144059869,0.0726730589335828,0.25,0.5266604303086997,716,2507,5329,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,2,8552,0.3547039454675594,0.3528303737305675,0.0018735717369918593,0.09097287184284378,0.3095182413470533,0.02494857642574327,0.0,0.47661365762394764,0.08635991580916744,0.30000000000000004,0.48947614593077643,778,2647,5127,4276
dev,MKG-W,M-Hyper + AdaMF-MAT,D_no_fallback,No Fallback,3,8552,0.3551286570625709,0.3528955430218128,0.002233114040758099,0.08512628624883069,0.3058933582787652,0.027222657702057174,0.0,0.4662067352666043,0.08203344246959776,0.30000000000000004,0.49812909260991584,728,2616,5208,4276
test,MKG-W,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,1,8548,0.36266772061993546,0.3606102414333147,0.0020574791866206903,0.06715021057557323,0.23046326626111371,0.021383985684722568,0.25362657931679927,0.3329433785680861,0.06805685540477305,0.25,0.521408516612073,574,1970,6004,4274
test,MKG-W,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,2,8548,0.36066291805345563,0.35885412183357046,0.0018087962198851842,0.0795507721104352,0.26661207299953205,0.025073559006088066,0.22426298549368273,0.3872250818905007,0.08393191389798783,0.30000000000000004,0.48525970987365463,680,2279,5589,4274
test,MKG-W,M-Hyper + AdaMF-MAT,A_full_anchored,Full Anchored,3,8548,0.3617849810972718,0.3596984551613601,0.0020865259359116937,0.07241459990641086,0.23958820776789894,0.02615108133715909,0.24871314927468413,0.3486195601310248,0.07608212447356105,0.30000000000000004,0.5042115114646701,619,2048,5881,4274
test,MKG-W,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,1,8548,0.3500867653263637,0.3606102414333147,-0.010523476106951089,0.24403369209171735,0.42922321010762754,0.11834181690849632,0.0,0.9797613476836687,0.43049836218998594,0.65,0.0,2086,3669,2793,4274
test,MKG-W,M-Hyper + AdaMF-MAT,B_no_anchor_query_soft,No Anchor / Query-soft,2,8548,0.3533215721562294,0.35885412183357046,-0.005532549677341036,0.23900327562002807,0.42840430510060834,0.10531464146303238,0.0,0.9801123069723912,0.4446712681328966,0.65,0.0,2043,3662,2843,4274
