pair,label,dataset,split,partition,group,defined_relations,n_observations,n_triples,n_relations,mass,delta_contribution,global_mrr,adc_mrr,delta_mrr,mean_gain,mean_loss,harm_rate,gain_rate,action_rate,fallback_rate
db15k_mhyper_adamf,D-A,db15k,dev_oof,named_group,R1,1,6252,1042,1,0.13153244130270134,0.0,0.3834265546459137,0.3834265546459137,0.0,0.0,0.0,0.0,0.0,0.0,0.7226487523992322
db15k_mhyper_adamf,D-A,db15k,dev_oof,named_group,R2,1,3558,593,1,0.07485483463771775,0.0,0.12752824229587437,0.12752824229587437,0.0,0.0,0.0,0.0,0.0,0.0,0.9825744800449691
db15k_mhyper_adamf,D-A,db15k,dev_oof,named_group,R3,1,3222,537,1,0.06778591264832114,0.0,0.24315936060140195,0.24315936060140195,0.0,0.0,0.0,0.0,0.0,0.0,0.9962756052141527
db15k_mhyper_adamf,D-A,db15k,dev_oof,named_group,R4,1,2472,412,1,0.0520070689219894,0.0,0.26900134094183326,0.26900134094183326,0.0,0.0,0.0,0.0,0.0,0.0,1.0
db15k_mhyper_adamf,D-A,db15k,dev_oof,named_group,R5,1,1746,291,1,0.03673314819490028,3.995439598165995e-05,0.38117322207118454,0.38226091528412853,0.001087693212944021,0.0025898067520309567,0.0015021135390869363,0.010882016036655211,0.022909507445589918,0.04639175257731959,0.9530355097365406
db15k_mhyper_adamf,D-A,db15k,dev_oof,named_group,Other,274,30282,5047,183,0.6370865942943701,-3.5110727173391924e-06,0.4365708466060619,0.43656533546715426,-5.511138907620583e-06,0.00010341154417547785,0.00010892268308309842,0.0008255729476256522,0.0019483521563965391,0.0030381084472624,0.994947493560531
db15k_mhyper_adamf,D-A,db15k,test,frequency,Train-zero,6,42,7,6,0.0007069278933548778,0.0,0.0017704016179274904,0.0017704016179274904,0.0,0.0,0.0,0.0,0.0,0.0,1.0
db15k_mhyper_adamf,D-A,db15k,test,frequency,1-99,186,2388,398,98,0.04019390022217734,4.0140897673470786e-05,0.38115201117879977,0.3821506925073492,0.000998681328549517,0.001142803173655805,0.00014412184510628805,0.0046063651591289785,0.014656616415410386,0.02219430485762144,0.9669179229480737
db15k_mhyper_adamf,D-A,db15k,test,frequency,100-999,68,17304,2884,68,0.29125429206220965,5.658107843796737e-06,0.4256323485160964,0.4256517752095323,1.9426693435948436e-05,0.00010069010818464729,8.126341474869884e-05,0.0010402219140083217,0.0028317152103559872,0.004160887656033287,0.9926028663892742
db15k_mhyper_adamf,D-A,db15k,test,frequency,1000+,19,39678,6613,19,0.6678448798222582,0.0001657545837970648,0.35229464221014245,0.35254283544902926,0.00024819323888681925,0.00027644905829256273,2.825581940574346e-05,0.0006804778466656586,0.0022682594888855287,0.003578809415797167,0.9506779575583447
db15k_mhyper_adamf,D-A,db15k,test,named_group,R1,1,8070,1345,1,0.13583114522318723,0.0,0.38037101757093106,0.38037101757093106,0.0,0.0,0.0,0.0,0.0,0.0,0.785997521685254
db15k_mhyper_adamf,D-A,db15k,test,named_group,R2,1,4572,762,1,0.07695415067663099,0.0,0.10379328553729314,0.10379328553729314,0.0,0.0,0.0,0.0,0.0,0.0,0.9873140857392826
db15k_mhyper_adamf,D-A,db15k,test,named_group,R3,1,3864,644,1,0.06503736618864876,-1.38523660311974e-08,0.2343485401859168,0.23434832719503415,-2.129908826722308e-07,3.0042594194409946e-08,2.430334768666408e-07,0.0002587991718426501,0.0002587991718426501,0.0005175983436853002,0.9987060041407867
db15k_mhyper_adamf,D-A,db15k,test,named_group,R4,1,3000,500,1,0.05049484952534841,0.0,0.2552688678578486,0.2552688678578486,0.0,0.0,0.0,0.0,0.0,0.0,1.0
db15k_mhyper_adamf,D-A,db15k,test,named_group,R5,1,2178,363,1,0.03665926075540295,0.0001629631667450211,0.3630592091211099,0.36750455699193424,0.00444534787082424,0.004959670791405725,0.0005143229205814859,0.011937557392102846,0.04040404040404041,0.06244260789715335,0.9375573921028466
db15k_mhyper_adamf,D-A,db15k,test,named_group,Other,274,37728,6288,186,0.6350232276307817,4.860427493534244e-05,0.4306495175548099,0.430726056920333,7.65393655231808e-05,0.00012293316044804562,4.639379492486484e-05,0.0007686598812553011,0.0022529686174724345,0.0034192111959287534,0.9936916878710772
mkgw_native_adamf,W-NA,mkg_w,dev_oof,frequency,Train-zero,1,6,1,1,0.00023386342376052386,-1.4656939363267876e-09,0.00039765306185385,0.00039138575458211663,-6.267307271733343e-06,4.152020700249996e-06,1.041932797198334e-05,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.6666666666666666
mkgw_native_adamf,W-NA,mkg_w,dev_oof,frequency,1-99,128,1614,269,63,0.06290926099158092,-2.0383125308204928e-05,0.41503334461406194,0.41470933627273154,-0.0003240083413304248,0.0017276040966139018,0.0020516124379443266,0.013630731102850062,0.020446096654275093,0.06815365551425032,0.9318463444857497
mkgw_native_adamf,W-NA,mkg_w,dev_oof,frequency,100-999,30,8970,1495,30,0.34962581852198316,9.383626078910644e-05,0.3994913325925305,0.3997597231284062,0.0002683905358757319,0.0014164054819106328,0.001148014946034901,0.015719063545150503,0.02463768115942029,0.05473801560758083,0.9452619843924192
mkgw_native_adamf,W-NA,mkg_w,dev_oof,frequency,1000+,10,15066,2511,10,0.5872310570626754,7.350796404015791e-05,0.28848900302240504,0.2886141802642353,0.00012517724183023306,0.0007084101096914581,0.000583232867861225,0.005973715651135006,0.0108854374087349,0.028275587415372363,0.9717244125846276
mkgw_native_adamf,W-NA,mkg_w,dev_oof,named_group,R1,1,4974,829,1,0.19387277829747426,5.169727325483158e-07,0.10422118649632042,0.10422385305289988,2.6665565794651373e-06,4.472727105018896e-06,1.8061705255537595e-06,0.0012062726176115801,0.002613590671491757,0.004020908725371934,0.995979091274628
mkgw_native_adamf,W-NA,mkg_w,dev_oof,named_group,R2,1,2772,462,1,0.10804490177736202,2.9342177173816764e-06,0.47481726609098296,0.4748444234826702,2.715739168728149e-05,0.0021930018193079283,0.0021658444276206465,0.007215007215007215,0.009018759018759018,0.05952380952380952,0.9404761904761905
mkgw_native_adamf,W-NA,mkg_w,dev_oof,named_group,R3,1,1128,188,1,0.04396632366697849,2.7063543430550602e-06,0.489667535151921,0.4897290903177238,6.155516580267785e-05,0.0005048493159959617,0.00044329415019328376,0.0035460992907801418,0.007978723404255319,0.02127659574468085,0.9787234042553191
mkgw_native_adamf,W-NA,mkg_w,dev_oof,named_group,R4,1,1068,178,1,0.04162768942937325,-9.382466614258563e-06,0.222564345075982,0.22233895503529338,-0.00022539004068859335,1.3211970625473314e-05,0.00023860201131406663,0.003745318352059925,0.0028089887640449437,0.010299625468164793,0.9897003745318352
